"","Vessel","station","lat","long","year","month","Chrysaora.melanaster..catch.number."
"88","OD",213,59.5052,-171.9981,2012,"10",80
"89","OD",214,59.5098,-170.989,2012,"10",6
"90","OD",215,59.4856,-170.004,2012,"10",0
"91","OD",216,60.0264,-171.9441,2012,"10",0
"92","OD",217,59.9715,-171.0207,2012,"10",0
"93","BE",134,64.0142,-169.9854,2012,"09",3
"94","BE",136,63.9823,-169.0007,2012,"09",3
"95","BE",137,63.9816,-168.0052,2012,"09",0
"96","BE",138,63.9727,-166.9765,2012,"09",0
"97","BE",139,64.0264,-165.9853,2012,"09",18
"98","BE",140,63.4811,-168.0028,2012,"09",0
"99","BE",142,63.4781,-167.0068,2012,"09",194
"100","BE",143,63.4844,-165.9984,2012,"09",54
"101","BE",148,62.9864,-166.0296,2012,"09",34
"102","BE",149,62.9812,-167.0175,2012,"09",0
"103","BE",150,63.063,-167.7149,2012,"09",0
"104","BE",151,62.489,-169.0283,2012,"09",319
"105","BE",152,62.4847,-167.9826,2012,"09",674
"106","BE",153,62.5035,-167.0265,2012,"09",32
"107","BE",155,61.9886,-167.0052,2012,"09",0
"108","BE",156,61.984,-167.9579,2012,"09",7
"109","BE",157,61.9827,-169.0127,2012,"09",98
"110","BE",158,61.4799,-169.0151,2012,"09",24
"111","BE",159,61.485,-167.9848,2012,"09",4
"112","BE",160,61.4829,-167.0028,2012,"09",2
"113","BE",161,61.0548,-167.0173,2012,"09",0
"114","BE",162,60.9879,-168.9737,2012,"09",24
"115","BE",163,60.9876,-168.0039,2012,"09",7
"116","BE",164,60.5444,-168.0077,2012,"09",24
"117","BE",165,60.487,-168.9802,2012,"09",30
"118","BE",166,60.5202,-167.0459,2012,"09",1
"119","BE",167,60.0038,-168.0242,2012,"09",222
